"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Points:0","Points:1","Points:2"
1.2227,217.5,-0.0030475,0,2.83e+05,1.0546e+05,300.48,0.5119,0.11978,2.214,0,0
1.2213,218.3,-0.0029658,0,2.8273e+05,1.0529e+05,300.32,0.51449,0.11482,2.2226,0,0
1.22,219.06,-0.0028659,0,2.8248e+05,1.0512e+05,300.18,0.51698,0.11003,2.2313,0,0
1.2187,219.79,-0.0027977,0,2.8223e+05,1.0496e+05,300.04,0.51938,0.10542,2.2402,0,0
1.2175,220.5,-0.0026207,0,2.8199e+05,1.0481e+05,299.9,0.52169,0.10098,2.2491,0,0
1.2163,221.17,-0.002533,0,2.8176e+05,1.0466e+05,299.77,0.52391,0.096709,2.2582,0,0
1.2151,221.81,-0.0026658,0,2.8153e+05,1.0452e+05,299.64,0.52605,0.092545,2.2674,0,0
1.214,222.46,-0.0029249,0,2.8132e+05,1.0437e+05,299.51,0.52818,0.088451,2.2769,0,0
1.2128,223.17,-0.0026574,0,2.8108e+05,1.0422e+05,299.37,0.53052,0.084051,2.2881,0,0
1.2114,223.93,-0.0022088,0,2.8082e+05,1.0405e+05,299.22,0.53309,0.079109,2.3011,0,0
1.2099,224.74,-0.0021166,0,2.8054e+05,1.0387e+05,299.05,0.53579,0.073889,2.3158,0,0
1.2084,225.56,-0.0020409,0,2.8026e+05,1.0368e+05,298.89,0.53857,0.068541,2.3322,0,0
1.207,226.39,-0.0019419,0,2.7997e+05,1.0349e+05,298.71,0.54137,0.063153,2.3502,0,0
1.2055,227.21,-0.001852,0,2.7969e+05,1.0331e+05,298.54,0.54414,0.057828,2.3696,0,0
1.2041,228,-0.001763,0,2.7941e+05,1.0313e+05,298.38,0.54684,0.052656,2.3905,0,0
1.2027,228.76,-0.0016746,0,2.7915e+05,1.0296e+05,298.22,0.54944,0.047708,2.4125,0,0
1.2014,229.48,-0.0015904,0,2.7891e+05,1.028e+05,298.07,0.5519,0.043039,2.4356,0,0
1.2002,230.16,-0.0015117,0,2.7868e+05,1.0264e+05,297.92,0.5542,0.038684,2.4596,0,0
1.1991,230.79,-0.0014389,0,2.7847e+05,1.025e+05,297.79,0.55635,0.034668,2.4844,0,0
1.1981,231.37,-0.0013722,0,2.7828e+05,1.0238e+05,297.67,0.55832,0.030998,2.5096,0,0
1.1972,231.9,-0.0013116,0,2.7811e+05,1.0226e+05,297.55,0.56012,0.027672,2.5351,0,0
1.1964,232.38,-0.0012565,0,2.7796e+05,1.0216e+05,297.45,0.56176,0.024678,2.5607,0,0
1.1957,232.81,-0.0012067,0,2.7783e+05,1.0206e+05,297.36,0.56324,0.021997,2.5862,0,0
1.1951,233.21,-0.0011619,0,2.7771e+05,1.0198e+05,297.27,0.56458,0.019608,2.6115,0,0
1.1945,233.57,-0.0011215,0,2.776e+05,1.0191e+05,297.2,0.56578,0.017485,2.6364,0,0
1.194,233.89,-0.0010858,0,2.7751e+05,1.0184e+05,297.13,0.56686,0.015603,2.6607,0,0
1.1936,234.18,-0.0010541,0,2.7743e+05,1.0178e+05,297.07,0.56782,0.013936,2.6842,0,0
1.1932,234.44,-0.0010258,0,2.7736e+05,1.0173e+05,297.01,0.56869,0.012459,2.707,0,0
1.1929,234.67,-0.0010009,0,2.773e+05,1.0169e+05,296.96,0.56947,0.01115,2.7289,0,0
1.1926,234.89,-0.00097889,0,2.7725e+05,1.0165e+05,296.92,0.57017,0.0099874,2.7498,0,0
