"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0346,2.4877e+05,0.93507,317,27.323,0,79937,-0.61482,269.16,1,1.368,1.368,0.3,0
1.0325,2.4834e+05,0.93759,317.12,26.983,0,79714,-0.62126,268.94,1,1.371,1.371,0.3,0
1.0305,2.479e+05,0.9401,317.24,26.642,0,79490,-0.62769,268.72,1,1.374,1.374,0.3,0
1.0284,2.4747e+05,0.94261,317.35,26.296,0,79267,-0.63412,268.51,1,1.377,1.377,0.3,0
1.0263,2.4703e+05,0.94513,317.46,25.947,0,79044,-0.64055,268.29,1,1.38,1.38,0.3,0
1.0243,2.466e+05,0.94764,317.56,25.597,0,78820,-0.64697,268.08,1,1.383,1.383,0.3,0
1.0222,2.4616e+05,0.95016,317.66,25.242,0,78597,-0.65339,267.86,1,1.386,1.386,0.3,0
1.0201,2.4573e+05,0.95268,317.76,24.886,0,78375,-0.6598,267.64,1,1.389,1.389,0.3,0
1.0181,2.4529e+05,0.95519,317.85,24.527,0,78152,-0.66621,267.42,1,1.392,1.392,0.3,0
1.016,2.4486e+05,0.95771,317.94,24.165,0,77930,-0.6726,267.21,1,1.395,1.395,0.3,0
1.0139,2.4442e+05,0.96023,318.02,23.801,0,77708,-0.679,266.99,1,1.398,1.398,0.3,0
1.0118,2.4399e+05,0.96275,318.1,23.434,0,77486,-0.68538,266.77,1,1.401,1.401,0.3,0
1.0098,2.4355e+05,0.96526,318.18,23.065,0,77264,-0.69177,266.55,1,1.404,1.404,0.3,0
1.0077,2.4312e+05,0.96778,318.25,22.694,0,77043,-0.69814,266.33,1,1.407,1.407,0.3,0
1.0056,2.4268e+05,0.9703,318.32,22.32,0,76821,-0.7045,266.12,1,1.41,1.41,0.3,0
1.0036,2.4225e+05,0.97282,318.39,21.944,0,76600,-0.71086,265.9,1,1.413,1.413,0.3,0
1.0015,2.4181e+05,0.97533,318.45,21.566,0,76380,-0.71721,265.68,1,1.416,1.416,0.3,0
0.99944,2.4137e+05,0.97785,318.5,21.186,0,76159,-0.72356,265.46,1,1.419,1.419,0.3,0
0.99738,2.4094e+05,0.98037,318.56,20.804,0,75939,-0.72989,265.24,1,1.422,1.422,0.3,0
0.99531,2.405e+05,0.98288,318.61,20.419,0,75720,-0.73622,265.02,1,1.425,1.425,0.3,0
0.99325,2.4007e+05,0.9854,318.65,20.033,0,75500,-0.74254,264.8,1,1.428,1.428,0.3,0
0.99119,2.3963e+05,0.98791,318.7,19.645,0,75281,-0.74884,264.58,1,1.431,1.431,0.3,0
0.98913,2.392e+05,0.99043,318.73,19.255,0,75062,-0.75514,264.36,1,1.434,1.434,0.3,0
0.98707,2.3876e+05,0.99294,318.77,18.864,0,74843,-0.76144,264.14,1,1.437,1.437,0.3,0
0.98502,2.3833e+05,0.99545,318.8,18.47,0,74625,-0.76772,263.92,1,1.44,1.44,0.3,0
0.98296,2.3789e+05,0.99797,318.83,18.075,0,74407,-0.77399,263.7,1,1.443,1.443,0.3,0
0.98091,2.3746e+05,1.0005,318.85,17.678,0,74189,-0.78026,263.48,1,1.446,1.446,0.3,0
0.97885,2.3702e+05,1.003,318.87,17.28,0,73972,-0.78651,263.26,1,1.449,1.449,0.3,0
0.9768,2.3659e+05,1.0055,318.89,16.88,0,73755,-0.79275,263.04,1,1.452,1.452,0.3,0
0.97475,2.3615e+05,1.008,318.9,16.479,0,73539,-0.79898,262.82,1,1.455,1.455,0.3,0
