VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         275,      -7.841767421,      -4.543496636,       -6.28010922,      -2.232811869
          0,           0,         276,       -7.84869887,      -4.554725825,      -6.290002689,      -2.243753193
          0,           0,         277,      -7.855654551,      -4.565982311,      -6.299926127,      -2.254721315
          0,           0,         278,      -7.862635004,      -4.577266108,      -6.309879544,      -2.265716234
          0,           0,         279,      -7.869640735,      -4.588577229,      -6.319862963,      -2.276737952
          0,           0,         280,      -7.876672214,      -4.599915688,      -6.329876403,      -2.287786467
          0,           0,         281,       -7.88372988,        -4.6112815,      -6.339919864,       -2.29886178
          0,           0,         282,      -7.890814138,       -4.62267468,      -6.349993315,      -2.309963887
          0,           0,         283,      -7.897925361,      -4.634095245,        -6.3600967,       -2.32109278
          0,           0,         284,      -7.905063891,      -4.645543211,      -6.370229939,      -2.332248454
          0,           0,         285,      -7.912230047,      -4.657018596,      -6.380392931,      -2.343430898
          0,           0,         286,      -7.919424123,      -4.668521416,      -6.390585572,      -2.354640106
          0,           0,         287,      -7.926646388,      -4.680051692,      -6.400807745,      -2.365876068
          0,           0,         288,      -7.933897096,      -4.691609441,       -6.41105934,      -2.377138778
          0,           0,         289,      -7.941176477,      -4.703194683,      -6.421340245,      -2.388428227
          0,           0,         290,      -7.948484743,      -4.714807437,      -6.431650356,       -2.39974441
          0,           0,         291,      -7.955822091,      -4.726447726,      -6.441989564,      -2.411087321
          0,           0,         292,      -7.963188697,      -4.738115569,      -6.452357786,      -2.422456957
          0,           0,         293,      -7.970584725,      -4.749810991,      -6.462754934,      -2.433853314
          0,           0,         294,      -7.978010322,      -4.761534014,      -6.473180921,      -2.445276389
          0,           0,         295,       -7.98546562,      -4.773284661,      -6.483635679,      -2.456726182
          0,           0,         296,      -7.992950737,      -4.785062956,      -6.494119126,       -2.46820269
          0,           0,         297,      -8.000465781,      -4.796868926,      -6.504631202,      -2.479705914
          0,           0,         298,      -8.008010845,      -4.808702595,      -6.515171844,      -2.491235855
          0,           0,         299,      -8.015586011,      -4.820563991,       -6.52574099,      -2.502792514
          0,           0,         300,      -8.023191349,      -4.832453139,      -6.536338585,      -2.514375894
          0,           0,         301,       -8.03082692,      -4.844370069,      -6.546964573,      -2.525985998
          0,           0,         302,      -8.038492773,      -4.856314809,      -6.557618909,       -2.53762283
          0,           0,         303,       -8.04618895,      -4.868287388,       -6.56830154,      -2.549286394
          0,           0,         304,       -8.05391548,      -4.880287836,      -6.579012412,      -2.560976695
