Density,Momentumx,Momentumy,Energy
1.3607,243.17,1.0405,315000
1.3643,241.38,1.1297,315700
1.368,239.48,1.2307,316430
1.3719,237.46,1.3459,317200
1.3759,235.3,1.4784,317990
1.3802,232.98,1.6322,318830
1.3847,230.48,1.8129,319710
1.3894,227.77,2.0277,320640
1.3944,224.82,2.2879,321620
1.3998,221.58,2.6095,322670
1.4055,217.99,3.0167,323800
1.4118,213.96,3.5577,325020
1.4186,209.35,4.3087,326350
1.4263,204.02,5.3794,327840
1.4348,197.76,7.2142,329500
1.4446,190.17,10.614,331430
1.4553,180.12,14.214,333460
1.4652,168.09,20.117,335300
1.4715,162.47,35.544,336630
1.4612,168.71,53.731,334670
1.4438,179.2,62.943,331220
1.4328,187.14,68.176,329110
1.4219,194,72.882,326990
1.4107,200.62,76.397,324810
1.4002,206.37,78.604,322740
1.3913,211.47,80.983,320990
1.3816,216.62,82.951,319100
1.3721,221.26,84.1,317220
1.3639,225.5,85.599,315610
1.3548,229.9,86.817,313820
1.3457,233.91,87.395,312010
1.3377,237.65,88.344,310440
1.3288,241.56,89.044,308680
1.3198,245.16,89.221,306890
1.3118,248.57,89.735,305310
1.3029,252.12,90.013,303540
1.2939,255.41,89.863,301730
1.2857,258.56,89.992,300110
1.2767,261.81,89.893,298310
1.2676,264.84,89.452,296480
1.2592,267.78,89.216,294790
1.25,270.77,88.767,292950
1.2407,273.57,88.054,291070
1.2319,276.3,87.463,289310
1.2225,279.02,86.682,287420
1.2131,281.61,85.707,285500
1.2039,284.12,84.769,283640
1.1943,286.59,83.67,281700
1.1847,288.95,82.442,279730
1.1751,291.24,81.162,277780
1.1652,293.44,79.761,275770
1.1554,295.57,78.29,273760
1.1454,297.61,76.677,271700
1.1353,299.53,74.991,269640
1.1253,301.42,73.289,267580
1.1148,303.18,71.359,265430
1.1046,304.79,69.411,263310
1.0944,306.42,67.491,261200
1.0835,307.87,65.265,258950
1.0731,309.18,63.082,256790
1.0628,310.53,60.964,254640
1.0515,311.65,58.472,252290
1.041,312.62,56.085,250090
1.0305,313.67,53.794,247900
1.019,314.43,51.071,245480
1.0084,315.07,48.518,243240
0.99782,315.82,46.082,241030
0.98607,316.2,43.172,238530
0.97541,316.5,40.494,236270
0.96481,316.92,37.946,234040
0.9529,316.92,34.898,231490
0.94225,316.88,32.138,229210
0.93169,316.98,29.516,226970
0.9197,316.6,26.385,224390
0.90913,316.23,23.588,222120
0.89866,316,20.93,219880
0.88671,315.26,17.771,217290
0.87627,314.57,14.981,215030
0.86594,314.04,12.327,212810
0.85412,312.96,9.197,210230
0.8439,311.98,6.4568,207990
0.83378,311.16,3.8459,205810
0.82216,309.76,0.78722,203250
0.8121,308.51,-1.8853,201040
0.80212,307.42,-4.4478,198870
0.79068,305.73,-7.4306,196330
0.78077,304.23,-10.032,194140
0.77092,302.87,-12.537,191980
0.7596,300.89,-15.429,189450
0.74985,299.16,-17.936,187280
