Density,Momentum_x,Momentum_y,Energy
1.2824,199.96,-3.0861,295490
1.279,202.27,-2.7764,294820
1.2757,204.42,-2.5088,294180
1.2725,206.43,-2.2761,293570
1.2695,208.32,-2.0727,292980
1.2666,210.09,-1.8939,292410
1.2638,211.76,-1.736,291870
1.2611,213.33,-1.596,291340
1.2585,214.81,-1.4712,290840
1.256,216.22,-1.3596,290350
1.2536,217.54,-1.2593,289890
1.2513,218.8,-1.1689,289440
1.2491,220,-1.087,289000
1.247,221.13,-1.0128,288580
1.2449,222.21,-0.94511,288180
1.2429,223.24,-0.88332,287790
1.241,224.22,-0.82673,287420
1.2392,225.15,-0.77477,287060
1.2374,226.03,-0.72694,286710
1.2357,226.88,-0.68282,286370
1.234,227.68,-0.64203,286050
1.2324,228.45,-0.60423,285740
1.2309,229.19,-0.56917,285430
1.2294,229.89,-0.53654,285140
1.228,230.56,-0.5062,284860
1.2266,231.2,-0.47782,284590
1.2253,231.81,-0.45147,284330
1.224,232.4,-0.42664,284080
1.2228,232.96,-0.40259,283840
1.2216,233.49,-0.3818,283600
1.2204,234.02,-0.36198,283370
1.2192,234.59,-0.33871,283120
1.2177,235.22,-0.31394,282840
1.2162,235.88,-0.28924,282540
1.2147,236.55,-0.26475,282240
1.2131,237.22,-0.24092,281930
1.2116,237.87,-0.21822,281620
1.2101,238.51,-0.19691,281330
1.2087,239.11,-0.17716,281040
1.2073,239.67,-0.15907,280780
1.206,240.19,-0.14268,280530
1.2049,240.67,-0.12797,280300
1.2038,241.1,-0.11487,280090
1.2028,241.49,-0.10328,279900
1.202,241.84,-0.093105,279720
1.2012,242.16,-0.084213,279570
1.2005,242.43,-0.076481,279430
1.1999,242.68,-0.069791,279310
1.1993,242.9,-0.064022,279200
1.1989,243.09,-0.059062,279110
1.1984,243.27,-0.054815,279020
1.1981,243.42,-0.051186,278950
1.1977,243.55,-0.048093,278880
1.1974,243.67,-0.045463,278820
1.1971,243.78,-0.04323,278770
1.1969,243.88,-0.041338,278720
1.1967,243.96,-0.039739,278680
1.1965,244.04,-0.038388,278640
1.1963,244.11,-0.037248,278610
1.1962,244.18,-0.036288,278570
1.196,244.24,-0.035476,278550
1.1959,244.3,-0.034796,278520
1.1958,244.35,-0.034214,278490
1.1956,244.4,-0.033732,278470
1.1955,244.44,-0.033325,278450
1.1954,244.49,-0.032885,278430
1.1953,244.53,-0.032298,278410
1.1952,244.57,-0.033754,278390
1.1951,244.6,-0.035201,278370
1.1951,244.69,0.0014871,278360
1.1948,244.69,-0.027864,278310
1.1947,244.6,-0.096125,278260
1.25,285.27,-1.4875E-05,292960
1.25,285.27,0.0010451,292960
1.25,285.26,0.0020725,292960
1.25,285.26,0.0030891,292970
1.25,285.26,0.0041291,292970
1.25,285.25,0.0051945,292970
1.25,285.25,0.006291,292980
1.2501,285.24,0.0074328,292980
1.2501,285.23,0.0086338,292990
1.2501,285.22,0.0099078,293000
1.2502,285.2,0.01127,293010
1.2502,285.19,0.01274,293020
1.2503,285.17,0.014336,293030
1.2504,285.14,0.016081,293050
1.2505,285.12,0.018001,293070
1.2506,285.08,0.020127,293090
1.2507,285.05,0.022494,293120
1.2509,285,0.025142,293150
1.2511,284.95,0.02812,293190
1.2513,284.88,0.031482,293230
1.2516,284.81,0.035295,293290
1.2519,284.72,0.039634,293350
1.2522,284.62,0.044586,293420
1.2527,284.5,0.05025,293500
1.2531,284.36,0.056738,293600
1.2537,284.2,0.064178,293710
1.2543,284.02,0.072707,293840
1.2551,283.8,0.082474,293990
